来源,时间,公司规模,英文名字,中文名字,公司简称,法人,成立日期,注册资本(万元）,联系人,联系人职位,职位名称,最低工资,最高工资,工资范围,招人数,工作经验 （年数）,学历要求,行业,公司经营地址,经营范围
58Job,2021-08-09,1-49人,,深圳市南方华普科技有限公司,南方华普,鄢务生,2014-02-10,500万人民币,,,外贸专员+社保福利好,6000,10000,6000-10000元/月,招3人,1-2年,本科,计算机硬件,广东省深圳市光明区公明上村莲塘冠城低碳产业园E栋B区7楼,一般经营项目是：电子产品、电脑周边设备的研发与销售；国内贸易；货物及技术进出口。，许可经营项目是：电子产品、电脑周边设备的生产。
,2021-08-09,20-99人,,深圳市京虹创科技有限公司,京虹创科技,曹海鲸,2014-07-01,50万人民币,付先生,主管,亚马逊产品开发 精品/接受应届/外贸跨境,5000,10000,5-10K,-,经验不限,大专,贸易/进出口,深圳龙岗区京南工业区京南工业区6B栋603,一般经营项目是：从事货物与及技术进出口、国内贸易；日用百货、宠物日用品、玩具、服装及其配件、饰品及其配件、美容护肤品、美妆配件、围巾、帽、泳衣、内衣、鞋、袜、腰带、电子产品、数码产品、数码配件、眼镜（不含隐形眼镜）、工艺品（象牙及其制品除外）、美容美发用具、皮具、小五金、针纺织品、雨具、手套、箱包及其配件、办公用品、汽车日用品、喜庆日用品、家居日用品、床上用品、家具、陶瓷制品、灯具、厨房用具、玻璃制品、服装辅料、纸制品（不含出版物）、卫浴洁具、塑料制品、母婴日用品（不含食品）、茶具、化妆品（不含危险化学品）、包装材料、运动器材的销售及批发。（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营），许可经营项目是：
58Job,2021-08-09,1-49人,,深圳市精至精密模具有限公司,裕池科技,洪裕聪,2015-05-22,50万人民币,,,外贸业务员,4000,8000,4000-8000元/月,招2人,1-2年,大专,原材料和加工,深圳光公明楼村锂鱼河工业区振兴路14号（定位佩雅时装）,一般经营项目是：国内贸易；货物及技术进出口。，许可经营项目是：机械设备、机械零配件、五金制品的技术开发、生产与销售。
58Job,2021-08-09,1-49人,,深圳市合盛创杰科技有限公司,雄毅华,吴才坤,2010-09-26,1000万人民币,,,外贸业务员,13000,20000,13000-20000元/月,招5人,1-2年,学历不限,原材料和加工,深圳龙岗区龙岗街道新生社区龙贤路2号,一般经营项目是：亚克力、塑胶材料、展示架、绝缘材料的设计与销售；国内贸易；货物及技术进出口。（以上不含限制、禁止项目）。，许可经营项目是：亚克力、塑胶材料、展示架、绝缘材料的加工生产。
58Job,2021-08-09,1-49人,,深圳摩方材料科技有限公司,隆客色,谭林伟,2014-09-23,1000万人民币,,,外贸业务员,5000,10000,5000-10000元/月,招5人,1-2年,大专,互联网/电子商务+原材料和加工+多元化集团,深圳福田华强北赛格广场36楼3603,"一般经营项目是：集成电路布图及相关产品的研发、设计及销售；智能穿戴产品、移动电源、3D眼镜、虚拟现实眼镜、补光灯、移动电源、手机周边产品、遥控产品、无线产品的技术开发；体温计、额温枪、鞋帽,手套、消毒杀菌产品、卫生用品、劳保用品的销售；国内贸易；货物及技术进出口；物业管理。 （法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可证方可经营），许可经营项目是：电子产品及配件的生产;智能电子设备、数码产品、手机配件、相机配件、摄影器材、电子元器件、电脑周边配件的组装、生产及加工;硅胶制品生产;化妆品生产与制造;化妆品工具用具生产;一类、二类医疗器械、医用口罩、医用服装、医用目镜的销售。"
58Job,2021-08-09,50-99人,,深圳市欣东汇科技有限公司,欣东汇,田伟,2007-07-24,1000万人民币,,,双休五险一金聘外贸业务员,,,薪资面议,招6人,1-2年,大专,贸易/进出口+电子技术/半导体/集成电路+仪器仪表/工业自动化,深圳宝安沙井后亭全至科技创新园17E,一般经营项目是：微型电机 、减速电机、直流电机、无刷电机、智能锁电机的研发与销售；智能电子产品的研发和销售；家用电器、塑胶制品、五金制品的销售；国内贸易，货物及技术进出口。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：无
,2021-08-09,100-499人,,深圳市方直科技股份有限公司,方直科技股份,黄元忠,1993-02-19,16783.109万人民币,董女士,HR,学科产品经理（英语）,18000,28000,18-28K·14薪,-,经验不限,本科,在线教育,深圳南山区方直科技股份有限公司大新路198号创新大厦B栋9楼,一般经营项目是：计算机软、硬件、网络及教育软件和教学资源的开发、销售、咨询及其技术服务；计算机系统集成及相关技术服务、信息技术咨询；从事互联网文化活动；电子产品的开发、销售（不含二、三类医疗器械等需许可项目）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；投资兴办实业（具体项目另行申报）；房屋租赁。，许可经营项目是：出版物批发；第二类增值电信业务中的信息服务业务（仅限互联网信息服务）（凭“中华人民共和国增值电信业务经营许可证粤B2-20110094经营）；第二类增值电信业务中的信息服务业务（不含互联网信息服务）（凭“中华人民共和国增值电信业务经营许可证B2-20173115经营”）。
58Job,2021-08-09,100-499人,,深圳市君豪盛金属材料有限公司,君豪盛,陈国友,2000-07-08,2206万人民币,,,急招外贸业务员,5000,8000,5000-8000元/月,招3人,"经验不限,可接收应届生",本科,钢铁/机械/设备/重工,惠州市仲恺高新区和畅西三路16号厂房A栋一楼,一般经营项目是：销售金属材料、建筑材料、五金制品、磨光棒、六角棒、铜棒及机电产品；不锈钢销售；经营进出口业务（以上均不含法律、行政法规、国务院决定规定需前置审批和禁止的项目）。，许可经营项目是：
,2021-08-09,100-499人,,深圳金亚太科技有限公司,金亚太科技,房纪军,2004-06-19,600万人民币,唐女士,HR,硬件项目经理（英语口语熟练）,12000,24000,12-24K·14薪,-,3-5年,大专,通信/网络设备,深圳市 南山区 深圳国际创新谷 8栋A座10层02-04房,一般经营项目是：研发、生产经营电脑用视频卡/盒、电脑用采集卡/盒、电脑用视频转换器/卡、电脑用电视接收卡/盒、手持数字电视、多媒体播放器、数字影像显示终端、数字电视机顶盒、电子书、家庭数码设备、遥控器（由分公司生产）；计算机软硬件、计算机及网络产品、电子产品系统技术、数字影像显示终端、数字电视软硬件的开发，销售自主开发的产品；并提供技术服务、技术咨询。，许可经营项目是：
58Job,2021-08-09,1-49人,,深圳环亚东升科技有限公司,环亚东升,常亚东,2014-11-20,100万人民币,,,外贸业务双休6k+提成,6000,12000,6000-12000元/月,招5人,3-5年,大专,贸易/进出口+互联网/电子商务,广东省深圳市沙井沙头创智空间商务中心718,一般经营项目是：机械、五金、电子产品周边的非标零配件、体育活动器械、锻炼身体器械、射箭用器具、箭弓、体育用品周边产品的销售；通用体育器械的研发与销售；国内贸易，货物及技术进出口。（法律、行政法规或者国务院决定禁止和规定在登记前须经批准的项目除外），许可经营项目是：
,2021-08-09,20-99人,,广东玫狮家居有限公司,广东玫狮,崔联英,2018-06-07,1000万人民币,陆先生,总经理,亚马逊运营经理/主管（法语、英语、意语）,13000,20000,13-20K·13薪,-,1-3年,本科,电子商务,深圳龙华区上塘商业大厦301-305室,从事床垫、家具、床上用品、家居用品、睡眠电子仪、按摩器、家具材料的研发、销售及进出口业务，佣金代理（不含拍卖）。（以上项目不涉及外商投资准入特别管理措施）（依法须经批准的项目，经相关部门批准后方可开展经营活动）
58Job,2021-08-09,1-49人,,深圳市创由科技有限公司,创由科技,林瑞丽,2016-06-06,100万人民币,,,高薪急聘外贸业务员,5000,10000,5000-10000元/月,招2人,"经验不限,可接收应届生",大专,互联网/电子商务+批发/零售,深圳福田华强北街道振华路55号工艺大厦,一般经营项目是：电子产品的研发；电子元器件、电脑 、手机周边的配件的销售；化妆品、美容美发用品、箱包、服装鞋帽、工艺礼品、玩具、办公用品、环保产品、床上用品的销售；经营电子商务；国内贸易；货物及技术进出口业务。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：电子元器件、电脑 、手机周边的配件的生产。
,2021-08-09,100-499人,,美国盛仕发贸易有限公司深圳代表处,盛仕发,刘敏平,2018-05-17,-,刘女士,办公室经理,品质/技术经理(须英语听说读写熟练),15000,20000,15-20K,-,10年以上,本科,贸易/进出口,深圳罗湖区东方广场(建设路)4楼401,"代表本公司开展联络、咨询活动,不得直接从事经营活动."
58Job,2021-08-09,50-99人,,深圳品质人生科技有限公司,深圳品质人生科技,谢森林,2013-10-23,200万人民币,,,蓝牙音箱外贸业务销售,5000,10000,5000-10000元/月,招10人,"经验不限,可接收应届生",大专,互联网/电子商务+贸易/进出口+电子技术/半导体/集成电路,固戍航城大道华创达科技园E座西区5楼,一般经营项目是：电子元器件、手机配件、电子产品、多媒体数码产品及周边零配件、变压器、适配器、音箱、五金制品、塑胶制品、线材、数据线、充电线、充电器及各类型接插头、转接头的技术开发与销售；国内贸易、货物及技术进出口。（法律、行政法规或者国务院决定禁止和规定在登记前须经批准的项目除外），许可经营项目是：电子元器件、手机配件、电子产品、多媒体数码产品及周边零配件、变压器、适配器、音箱、五金制品、塑胶制品、线材、数据线、充电线、充电器及各类型接插头、转接头的生产。，建设项目环境影响审批
,2021-08-09,100-499人,,深圳市多科电子有限公司,多科电子,李小刚,2013-12-12,1000万人民币,夏女士,人事主管,英语文案策划,11000,16000,11-16K,-,1-3年,大专,电子商务,深圳广东省深圳市龙华区卫东龙商务大厦b座13层整层,一般经营项目是：通讯设备、通讯产品、移动电话机、电子产品、数码产品及配件、周边产品的技术开发与销售；国内贸易；货物及技术进出口。（法律、行政法规、国务院决定规定在登记前须批准的项目除外），许可经营项目是：通讯设备、通讯产品、移动电话机、电子产品、数码产品及配件、周边产品的生产。
,2021-08-09,100-499人,,深圳雷柏科技股份有限公司,雷柏科技,曾浩,2002-08-05,28288万人民币,江女士,人力资源主管,硬件项目经理（英语好）,12000,20000,12-20K·13薪,-,1-3年,大专,智能硬件,深圳南山区中国储能大厦56楼,一般经营项目是：机器人系统和计算机软硬件及外围设备、机器人与自动化装备、自动化立体仓库及仓储物流设备、机械电子设备、无人搬运设备的技术开发、技术咨询、技术服务、批发、佣金代理（不含拍卖）、进出口及其它相关配套业务（不涉及国营贸易管理商品，涉及配额、许可证管理及其它专项规定管理的商品，按国家有关规定办理申请）；软件技术信息咨询；自有物业出租、物业管理。研发、设计及销售：电子产品、智能设备、可穿戴产品、家用小电器及其配件、眼镜、日用品、玩具。（以上项目不涉及外商投资准入特别管理措施），许可经营项目是：生产经营鼠标、键盘、工模具；从事电脑软件开发；生产经营音频产品及配件、电脑游戏周边产品；生产经营航空电子设备、智能遥控飞行装置（不涉及外商投资准入特别管理措施）、户外运动电子设备、无线电数据传输系统及相关配套器件；机器人与自动化装备、自动化立体仓库及仓储物流设备、机械电子设备、无人搬运设备、自动化系统与智能生产线研发、生产经营及上门安装。（以上项目不涉及外商投资准入特别管理措施）
58Job,2021-08-09,100-499人,,深圳市今视通数码科技有限公司,今视通,赵满平,2003-09-02,328万人民币,,,7K诚聘外贸助理,5000,7000,5000-7000元/月,招1人,"1-2年,可接收应届生",大专,原材料和加工+电子技术/半导体/集成电路,深圳光明新区楼村凤新路新健兴科技工业园A2栋5楼,一般经营项目是：国内贸易；经营进出口业务。(以上均不含法律、行政法规、国务院决定禁止及规定需前置审批项目），许可经营项目是：智能平板、教学投影灯、投影银幕、3D眼镜 、智能音响、人工智能机器人、智能眼镜、智能手表、自动调焦投影仪、高新数码产品、电子产品、通讯产品、计算机软件及外围设备、高新便携式上网设备（UMPC、UMD）、高新电脑摄像头、高新电脑摄像头模组、高新数码相框、无线上网卡、GPS产品、数据存储卡（U盘、Card）、MP3、MP4、智能手机、按键电话机、智能电话机、广告机、服务型智能机器人的技术研发、生产与销售及加工（不含限制项目）；呼吸机、防护服、防护面罩、防护眼罩、防护手套、民用口罩、医用口罩、体温枪、额温枪、第二类医疗器械的生产与销售。
,2021-08-06,20-99人,,广东新钱潮信息科技有限公司,新钱潮,李凡,2017-08-18,1000万人民币,刘先生,人事行政专员,亚马逊高级英语运营,13000,18000,13-18K,-,1-3年,本科,电子商务,深圳南山区南山云谷南风楼315,一般经营项目是：电子产品的信息咨询；通讯产品、数码产品、电脑周边产品、家用电器、安防产品、电子产品的技术开发与销售；汽车配件、光电产品、太阳能产品、户外运动器材、体育运动器材、玩具、五金工具、日用百货、服装鞋帽的销售；国内贸易；经营进出口业务。（以上法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：
58Job,2021-08-09,100-499人,,深圳市迪卫尔环保科技有限公司,,李丙和,2015-01-27,100万人民币,,,外贸跟单员,4000,6000,4000-6000元/月,招5人,经验不限,大专,耐用消费品(家具/家电等)+环保+其他行业,沙田社区田脚丹梓大道东136号,一般经营项目是：投资兴办实业（具体项目另行申报）；五金配件、净水器的技术开发与销售；塑胶制品、水处理设备的技术开发与销售；国内贸易；货物及技术进出口。，许可经营项目是：水处理膜元件及净水设备的技术研发、技术咨询、生产与销售;净水材料的研发、生产销售；智能净水设备集成电路设计、研发、生产、销售。熔喷布的生产和销售。
58Job,2021-08-09,1-49人,,义乌市酷丁电子商务商行,菲仕特,符文周,2012-08-06,200万人民币,,,外贸业务5K-20K,8000,15000,8000-15000元/月,招10人,"经验不限,可接收应届生",大专,贸易/进出口+批发/零售+其他行业,观澜新塘村61号,一般经营项目是：自行车整车、自行车零配件、自行车装备的研发与销售；国内贸易；货物及技术进出口。，许可经营项目是：自行车整车、自行车零配件、自行车装备的生产。
58Job,2021-08-09,100-499人,,深圳市永新集成墙板材料,然一晓,冯映妮,2019-10-18,10万人民币,,,外贸专员双休招聘,4500,6000,4500-6000元/月,招4人,经验不限,学历不限,批发/零售,深圳龙华民福路2号百易广场,一般经营项目是：生物制品、网络技术、电子产品、通信与自动控制技术的研发；生物技术的技术咨询服务；企业管理咨询；计算机的技术开发；计算机零配件的批发、技术服务；医疗器械的技术开发；市场营销策划；企业形象策划；企业营销策划；经济信息咨询；化妆品、卫生用品的销售；信息技术咨询；国内贸易；从事广告业务；会议展览服务。（以上项目法律、行政法规、国务院决定规定在登记前须经批准的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：
58Job,2021-08-09,1-49人,,深圳崟坤科技有限公司,海雷,王海雷,2012-05-17,5000万人民币,,,外贸业务员,6000,10000,6000-10000元/月,招2人,经验不限,学历不限,原材料和加工,深圳坪山新区石井街道荔景南路69号,一般经营项目是：电池、电池组及相关配件、电源设备、便携式发电设备、换电柜、逆变器、充电设备、放电设备、换电设备、电容、充电器、移动电源、备用电源的技术开发和销售；五金建材、电子产品、家用电器、手电筒的销售；国内贸易，货物及技术进出口。（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营）。房屋租赁。网络技术、信息技术、软件的设计、开发、销售及技术服务。，许可经营项目是：电池、电池组及相关配件、电源设备、便携式发电设备、换电柜、逆变器、充电设备、放电设备、换电设备、电容、移动电源、保护板、家用电器、空气进化器、机器人扫地机的技术开发、生产加工、销售。电动车、电动自行车、玩具电动车、老人代步车、独轮车、平衡车、线路板、充电器、电机的生产加工与销售。
58Job,2021-08-09,100-499人,,深圳市精至精密模具有限公司,方维达,黄伟元,2009-01-08,300万人民币,,,高提成/外贸业务/五险,8000,16000,8000-16000元/月,招5人,"1-2年,可接收应届生",大专,计算机硬件+贸易/进出口+原材料和加工,公明办事处东坑社区新亿街2号,一般经营项目是：电子产品、电脑周边产品、机器人、塑胶配件的研发、销售；电子元器件的销售；国内贸易；货物及技术进出口。（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营），许可经营项目是：电子产品、电脑周边产品、机器人、塑胶配件的生产。
58Job,2021-08-09,50-99人,,深圳市众邦达国际物流有限公司,,廖炎兵,2013-12-13,500万人民币,,,高薪资聘外贸业务员包住,8000,15000,8000-15000元/月,招5人,"经验不限,可接收应届生",大专,交通/运输/物流,福海街道中非可持续发展中心14栋202室,一般经营项目是：国际货运代理；国内货运代理；代理报检；搬运装卸；会展策划；国内贸易、货物及技术进出口。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：普通货运。
,2021-08-09,20-99人,,永信（深圳）控股集团有限公司,永信,徐广雄,2001-11-27,10000万人民币,苏女士,招聘者,项目助理（翻译助理）,4000,7000,4-7K,-,经验不限,大专,计算机服务,深圳福田区深圳1979文化生活新天地A区1栋304比蓝翻译,一般经营项目是：计算机及网络、通讯网络系统的技术开发与咨询及销售；通讯设备（不含无线电发射设备）、机械电器设备、电子计算机及外部设备、软件产品的销售及其他国内商业、物资供销业（不含专营、专控、专卖商品）；IC卡应用技术及其他智能电子技术的开发。软件开发；各类文档资料翻译服务；投资兴办实业（具体项目另行申报）。，许可经营项目是：
58Job,2021-08-09,50-99人,,深圳世纪华飞快运供应链有限公司,二一八,刘君,2013-03-21,500万人民币,,,外贸专员9K,6000,9000,6000-9000元/月,招2人,经验不限,大专,贸易/进出口+交通/运输/物流+互联网/电子商务,广东省深圳市宝安区福洲大道22号102,一般经营项目是：海上、航空、陆路国际货运代理业务；国内货运代理；物流信息咨询；经营电子商务；国内贸易，货物及技术进出口，国际贸易。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外），，许可经营项目是：预包装食品、酒类、饮料、精制茶的销售；无船承运业务。
,2021-08-09,0-20人,,深圳市庄周科技开发有限公司,庄周科技,周泽伟,2015-09-01,50万人民币,周先生,运营主管,英文翻译助理,4000,8000,4-8K,-,经验不限,大专,电子商务,深圳龙岗区深圳市龙岗区布吉街道木棉湾社区鸭秋湖工业区金谷工业园412,一般经营项目是：网上从事国内贸易、网上从事信息咨询；货物及技术进出口；国内贸易；经营电子商务；从事文化交流；文化用品、工艺美术品、电子产品、礼品的购销；美术设计、电脑动画设计；投资科技型企业或其它企业和项目；电子元器件、集成电路、光电产品、半导体、太阳能产品、仪表配件、数字电视播放产品及通讯产品的技术开发及销售；干燥机、工业除湿机、净化设备、机电机械、制冷设备的销售；智能交通产品、道路交通设施的销售；会议公共广播设备、航空电子设备、测试设备的技术开发及销售；化工产品、高分子材料、纤维材料及工艺和设备的销售；印制线路板的设计及购销。，许可经营项目是：网上拍卖；文艺创作与表演。
58Job,2021-08-09,1-49人,,深圳市康米索数码科技有限公司,康米索,吴卫权,2013-04-09,100万人民币,,,五险包住外贸业务员,8000,12000,8000-12000元/月,招5人,1年以下,大专,耐用消费品(家具/家电等),深圳宝安松岗洪桥头下围水工业区鑫龙科技园12楼,一般经营项目是：音响、音箱、喇叭、电子产品、移动电源、家用电器、塑胶制品的销售，第二类医器械销售；国内贸易、货物及技术进出口。（以上均不含再生资源回收经营及法律、行政法规或者国务院决定禁止和规定在登记前须经批准的项目），许可经营项目是：音响、音箱、喇叭、电子产品、移动电源的生产。
58Job,2021-08-09,1-49人,,深圳市科瑞祥精密工业有限公司,迈尔丹,王璐萍,2014-07-14,50万人民币,,,石岩高薪外贸业务员6K起,6000,12000,6000-12000元/月,招5人,"1-2年,可接收应届生",大专,原材料和加工+钢铁/机械/设备/重工+互联网/电子商务,石岩街道宝石西路岭南创谷U创客704,一般经营项目是：经营电子商务；手板、塑料模型、五金模型、模具的设计开发与销售；网络技术开发；电子产品的销售与研发：国内贸易，货物及技术进出口。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外，涉及行政许可的，须取得行政许可后方可经营），许可经营项目是：
58Job,2021-08-09,1-49人,,深圳市八颗贸易有限公司,日丽丰,童爱军,2012-03-06,500万人民币,,,外贸业务员+包吃住,7000,14000,7000-14000元/月,招3人,经验不限,大专,贸易/进出口,深圳龙岗区坪地街道四方埔社区,一般经营项目是：软件的开发与销售；国内贸易，货物及技术进出口（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营）。，许可经营项目是：电子电气产品、塑胶产品、模具的研发、生产与销售。
,2021-08-09,0-20人,,深圳市掌上便捷科技有限公司,掌上便捷科技,陈佳聪,2014-07-30,200万人民币,陈先生,总经理,英文日文文案翻译/跨境电商亚马逊,6000,10000,6-10K·13薪,-,1-3年,本科,O2O,深圳龙岗区蓝海众创产业园308-310,一般经营项目是：网页设计；网络技术开发；箱包、皮具、服装服饰及鞋帽、洗涤用品、家用电器、日用百货、电子产品、五金产品、通信器材、家具用品、文化办公用品、床上用品、化妆品及化妆护肤品、灯具、布艺、计算机及配件的销售；国内贸易；货物及技术的进出口业务;经营电子商务。，许可经营项目是：
58Job,2021-08-09,1-49人,,深圳市特力精工智能科技有限公司,波卡液压,李丽梅,2012-09-06,110万人民币,,,外贸业务员五险一金,6000,10000,6000-10000元/月,招2人,1-2年,大专,仪器仪表/工业自动化,广东省深圳市光明区公明街道西田社区第二工业区31栋,一般经营项目是：液压机械设备、液压泵、液压阀、液压元件的销售；液压系统的技术开发与销售；国内贸易；货物及技术进出口。，许可经营项目是：液压机械设备、液压泵、液压阀、液压元件的制造。
,2021-08-04,100-499人,,深圳市无限进制科技有限公司,无限进制,汤宇鹏,2020-06-04,100万人民币,哈先生,版权运营PM,土耳其语翻译/编辑,8000,10000,8-10K,-,1-3年,本科,媒体,深圳宝安区稻兴环球科创中心A座3楼,一般经营项目是：从事广告业务；文化活动策划（不含经营卡拉OK、歌舞厅）；企业营销策划；文体用品、工艺美术品、电子产品、工艺礼品（象牙及其制品除外）的销售；国内贸易；美术设计；电脑动画设计；多媒体设计；动漫及衍生品的设计；饰物装饰的设计；版权代理。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：无
58Job,2021-08-09,1-49人,,深圳市皓祥光电有限公司,皓祥光电,张泽武,2010-07-29,10万人民币,,,龙岗外贸业务员(大专),,,薪资面议,招5人,"经验不限,可接收应届生",大专,电子技术/半导体/集成电路,深圳龙岗区南联向银路71号汇川科技园6楼7楼,一般经营项目是：LED灯光照明系统的设计、研发、销售、国内贸易。经营进出口业务（法律、行政法规、国务院决定规定需前置审批和禁止的项目除外）、 LED产品技术开发 ，计算机软硬件的设计与技术开发。，许可经营项目是：LED电子产品（不含印刷）的生产及销售；LED灯具生产及销售、智能家居的生产及销售.LED灯光系统的研发和生产。
58Job,2021-08-09,100-499人,,深圳华诗时装有限公司,荣盛,田开华,2005-06-02,500万人民币,,,外贸跟单+经验不限,4000,6000,4000-6000元/月,招1人,"经验不限,可接收应届生",大专,服装/纺织/皮革,深圳龙岗区横岗园岭仔工业区3栋,一般经营项目是：时尚产品、智能电子产品、精密注塑模具、及软件产品的研发、销售；互联网与电子商务业务。，许可经营项目是：时尚箱包设计与销售；皮具制品、手提袋等产品的设计、生产与销售。
,2021-08-05,100-499人,,深圳壹秘科技有限公司,eMeet,陈文明,2016-08-31,167.8064万人民币,吴女士,人力资源总监,MT机器翻译研发工程师（初级),15000,30000,15-30K,-,1年以内,硕士,智能硬件,深圳市 光明区 招商局光明科技园有限公司,一般经营项目是：人工智能系统、机器学习系统、语音拾取系统、电话会议系统、视频会议系统、计算机软硬件的技术开发及销售；电子产品、办公产品、嵌入式软件、监控产品、通信设备整机及模块的技术开发、销售、设计；电子技术咨询；国内贸易、国际贸易；货物及技术进出口。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：
58Job,2021-08-09,100-499人,,深圳福迈科技有限公司,福迈科技,陈阳贵,2007-11-12,1000万人民币,,,外贸跟单,4000,8000,4000-8000元/月,招4人,"经验不限,可接收应届生",大专,电子技术/半导体/集成电路,创业路怡海广场东座2705室,一般经营项目是：手机配件、塑料制品、电子产品的技术开发与销售，办公用品及产品外包装材料的销售（以上不含专营、专控、专卖商品）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。，许可经营项目是：手机配件、塑料制品、电子产品的生产。
58Job,2021-08-09,1-49人,,深圳市鸿泰电子五金有限公司,新鸿胜,洪文华,2013-03-20,100万人民币,,,外贸业务员5k-8k,5000,8000,5000-8000元/月,招3人,"1-2年,可接收应届生",本科,钢铁/机械/设备/重工,深圳宝安沙井万丰村第三工业区乌泥棚路18号三楼,一般经营项目是：五金模具、光纤光缆模具、电线电缆模具、押出机头、机芯、机械配件的研发、销售；机械设备的销售；国内贸易；经营进出口业务。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：五金模具、光纤光缆模具、电线电缆模具、押出机头、机芯、机械配件、机械设备的生产。
,2021-07-19,100-499人,,思迪软件科技（深圳）有限公司,SDL PLC,李仲盈,2004-06-22,1287.6214万人民币,周女士,Talent Finder,翻译 项目管理专员,6000,8000,6-8K,-,经验不限,本科,数据服务,深圳市 南山区 源兴科技大厦南座,一般经营项目是：，许可经营项目是：计算机软件产品的技术开发、技术转让；信息系统软件及辅助设备的开发，销售自主开发的产品；信息系统设计、集成、运行维护及相关技术咨询、技术服务；翻译服务（包括英语、简繁体中文、法语、德语、意大利语、西班牙语、日语、韩语、俄语、葡萄牙语、阿拉伯语等）;以承接服务外包方式从事翻译、电脑排版、技术测试、软件维护、软件开发、人力资源服务、数据处理等信息技术和业务流程外包服务。
58Job,2021-08-09,1-49人,,深圳市弘达通机电设备有限公司,像素之光,康敏,2015-06-04,100万人民币,,,急招外贸业务员,10000,15000,10000-15000元/月,招6人,经验不限,学历不限,贸易/进出口+电子技术/半导体/集成电路,深圳宝安石岩明金海工业园综合楼7楼,一般经营项目是：LED像素灯、LED灯条、LED照明产品、发光二极管、LED电源、控制器、电子产品、五金配件的技术开发与销售；口罩（非医用）、劳保用品的销售；货物及技术进出口。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：二类医疗器材、防护服、测温仪、医用口罩的销售；LED像素灯、LED灯条、LED照明产品、发光二极管、LED电源、控制器、电子产品、五金配件、口罩（非医用）、劳保用品的生产。
,2021-08-09,0-20人,,深圳市惟特商务咨询有限公司,惟特商务,严仪,2011-01-10,200万人民币,杨女士,人事经理,翻译项目经理,5000,8000,5-8K,-,1-3年,本科,翻译,深圳福田区星河世纪大厦A栋3707,一般经营项目是：企业管理咨询（不含证券、保险、基金、金融业务、人才中介服务及其它限制项目）；翻译服务；企业形象策划、礼仪活动策划、文化活动策划、展览展示策划；视听设备、同声翻译设备的租赁。，许可经营项目是：
58Job,2021-08-09,50-99人,,深圳市志远通达科技有限公司,艾特美,李祥银,2016-11-29,600万人民币,,,诚聘外贸专员包住,5000,10000,5000-10000元/月,招10人,1年以下,大专,贸易/进出口,深圳宝安石岩街道三祝里区南区78栋二楼,一般经营项目是：电子产品的研发设计与销售；国内贸易，货物及技术进出口。投影仪、投影设备、平板电脑、VR一体机、计算机、数码产品、移动互联网设备、智能机器人、电动牙刷、电动美容仪、智能日常使用小设备研发、销售。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：投影仪、投影设备、平板电脑、VR一体机、计算机、数码产品、移动互联网设备、智能机器人，电动牙刷，电动美容仪，智能日常使用小设备生产。二类医疗器械及耗材的销售；口罩、防护服、一次性医用手套、额温仪的销售，预包装食品销售。
,2021-08-06,0-20人,,深圳市指尖智能科技有限公司,深圳指尖,翟磊,2016-07-07,100万人民币,张女士,人事主管,文案编织listing 翻译 英语德语法语,5000,8000,5-8K,-,1年以内,大专,电子商务,深圳宝安区固戍社区石街新村(西南门)新屋园创意园,一般经营项目是：智能家居的研发与销售；智能网络控制系统设备的研发与销售；家用电器、酒店设备、LED灯具、厨具、橱柜、电子产品、通讯设备、仪表仪器、安防产品、计算机软硬件、汽车零配件、环保设备、家居饰品的研发与销售；经营电子商务（涉及前置性行政许可的，须取得前置性行政许可文件后方可经营）；国内贸易，货物及技术进出口。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：
